Session_ID,Session_Date,Session_Time,Program,Batch,Learner_ID,Learner_Name,Learner_Email,Age_Cohort,Mentor_Name,Session_Type,Scheduled_Duration_mins,Actual_Duration_mins,Session_Status,Mentor_Prep_Done,Learner_Attended,Post_Session_Rating,Action_Items_Documented,Follow_Up_Scheduled,Issue_Flag,Learner_Feedback
SS1001,2025-09-08,15:00,Academy,Academy Sept25 Advanced,L46048,Learner_126,learner_126@gmail.com,e_10-24M,Sneha Reddy,Resume Review,30,0,No-show,Partial,No,,No,No,Session No-show,
SS1002,2025-09-02,18:30,Academy,Academy Jul25 Beginner,L40495,Learner_259,learner_259@gmail.com,d_7-9M,Pooja Gupta,Career Guidance,30,0,Cancelled,Partial,No,,No,No,Session Cancelled,
SS1003,2025-09-01,20:30,DSML,DSML Aug25 Advanced,L65392,Learner_175,learner_175@gmail.com,a_1M,Vikram Singh,Resume Review,45,33,Completed,Yes,Yes,3,Yes,Yes,,"Excellent career guidance, very motivating"
SS1004,2025-10-05,19:00,Academy,Academy Aug25 Intermediate,L20328,Learner_283,learner_283@gmail.com,a_1M,Vikram Singh,Learning Roadmap,45,,Rescheduled,Partial,Yes,,No,No,Session Rescheduled,
SS1005,2025-09-19,12:30,Academy,Academy Jul25 Beginner,L23238,Learner_195,learner_195@gmail.com,c_4-6M,Vikram Singh,Project Discussion,45,0,No-show,Yes,No,,No,No,Session No-show,
SS1006,2025-09-05,15:30,DSML,DSML Aug25 Advanced,L42087,Learner_84,learner_84@gmail.com,c_4-6M,Kavya Nair,Project Discussion,60,67,Completed,Partial,Yes,3,Yes,Yes,Learner seemed confused,"Very helpful session, mentor was clear and supportive"
SS1007,2025-09-05,20:30,DSML,DSML Aug25 Advanced,L51245,Learner_109,learner_109@gmail.com,c_4-6M,Karthik Rao,Project Discussion,60,59,Completed,Yes,Yes,3,Yes,No,,
SS1008,2025-10-08,15:30,DevOps,DevOps Aug25,L38746,Learner_71,learner_71@gmail.com,a_1M,Arjun Desai,Project Discussion,30,18,Completed,Yes,Yes,4,No,No,Session ended early (< 20 mins),
SS1009,2025-10-09,13:30,DevOps,DevOps Sept25,L42953,Learner_498,learner_498@gmail.com,e_10-24M,Arjun Desai,Career Guidance,60,0,No-show,Yes,No,,No,No,Session No-show,
SS1010,2025-09-08,19:00,AIML,AIML Aug25 Batch,L30730,Learner_233,learner_233@gmail.com,c_4-6M,Rahul Sharma,Mock Interview,30,0,Cancelled,Partial,Yes,,No,No,Session Cancelled,
